catagory,action-link-href,name,company,rate,privacy-policy-link-href
Smart home,https://assistant.google.com/services/a/uid/0000006680fb7823,SmartLink Home,SecureNet Technologies LLC,3.8,http://securenettech.com/about/privacy.php
"Movies, photos & TV",https://assistant.google.com/services/a/uid/0000000021125b44,Movie helper,,3.7,http://semper-viventem.ru/movie_privacy.html
Shopping,https://assistant.google.com/services/a/uid/0000000c8bad3bf2,Personal Grocer,,2.7,http://shelf.ai/privacy
News & magazines,https://assistant.google.com/services/a/uid/000000fa599403b0,The Bakersfield Californian,,5,http://spokenlayer.com/privacy
News & magazines,https://assistant.google.com/services/a/uid/000000baa866abc3,The Kansas City Star,,4.6,http://spokenlayer.com/privacy
Smart home,https://assistant.google.com/services/a/uid/000000395e2be7a5,Ambi Climate,AmbiLabs,3.7,http://static.ambiclimate.com/website-privacy_policy/
Arts & lifestyle,https://assistant.google.com/services/a/uid/000000d0643028c5,Angry Fortune Teller,Starbutter AI,4.2,http://static.starbutter.com/StarbutterPrivacyNotice.pdf
Business & finance,https://assistant.google.com/services/a/uid/00000060b3f205aa,Car Insurance Finder,Starbutter AI,4.5,http://static.starbutter.com/StarbutterPrivacyNotice.pdf
Business & finance,https://assistant.google.com/services/a/uid/000000e982476cc3,Insurance Helper,starbutter AI,3.8,http://static.starbutter.com/StarbutterPrivacyNotice.pdf
Business & finance,https://assistant.google.com/services/a/uid/000000a0353ccc11,Mortgage Helper,Starbutter AI,4,http://static.starbutter.com/StarbutterPrivacyNotice.pdf
Weather,https://assistant.google.com/services/a/uid/000000facbc3b3cf,Dr.Weather Around,Ali Mustafa Shaikh,5,http://studentsconnects.com/privacy.html
Music & audio,https://assistant.google.com/services/a/uid/000000149d5bbbb1,Sword & Scale,Sword & Scale,5,http://swordandscale.com/privacy-policy/
Food & drink,https://assistant.google.com/services/a/uid/00000095872265bf,Huntspoint BBQ,Love Intelligent Systems LLC,0,http://takeouttalk.com/privacy-policy/
Food & drink,https://assistant.google.com/services/a/uid/00000094ff325c85,Lunch Line,Pegula,0,http://talktolunchline.com/tos
Weather,https://assistant.google.com/services/a/uid/000000a8020d34fe,Southern Lights,Terence,4.2,http://terencelegrange.com/aurora-australis-notifications-privacy-policy/
Smart home,https://assistant.google.com/services/a/uid/000000119595e520,DT Life,dtston,4.8,http://testfiles.ourslinks.com/html/statement.html
Travel & transportation,https://assistant.google.com/services/a/uid/0000000da198a612,Gola Tourism,Vinayak Srivastava,5,http://tiny.cc/Gola_tourism_privacy
Business & finance,https://assistant.google.com/services/a/uid/000000275060aa30,Top Sign Solutions,"Top Sign Solutions, LLC",5,http://topsign.solutions/privacy-policy/
News & magazines,https://assistant.google.com/services/a/uid/000000bb9e11c4b7,VoiceFirst Weekly,VoiceFirst Labs,4.5,http://voicefirstweekly.com/privacy-policy/
Music & audio,https://assistant.google.com/services/a/uid/00000072dc0d8b2e,voice pods,VoicePods,4.6,http://voicepods.com/privacy
Productivity,https://assistant.google.com/services/a/uid/000000a2369c7ec2,ChotuMotu Mumbai,ChotuMotu,3.2,http://voicetouch.co.in/privacypolicy_Chotumotu_Google.htm
Smart home,https://assistant.google.com/services/a/uid/0000006802db99f3,We.Lock,"Shenzhen Myhand Industrial Co.,Ltd",0,http://welock.we-lock.com.cn/html/privacy.html
Sports,https://assistant.google.com/services/a/uid/0000001642e70bfb,10is.in,10is.in,4,http://www.10is.in/privacy-policy.php
Music & audio,https://assistant.google.com/services/a/uid/00000075ac2e47f6,Acast,Acast AB,3.5,http://www.acast.com/privacypolicy
Smart home,https://assistant.google.com/services/a/uid/000000cf58e0e1af,Alarm.com,Alarm.com,3.3,http://www.alarm.com/privacy_policy.aspx
Education & reference,https://assistant.google.com/services/a/uid/000000b051e6a202,Farmer's Almanac,The Old Farmer's Almanac,4.3,http://www.almanac.com/content/privacy-policy
Smart home,https://assistant.google.com/services/a/uid/00000021b20e8a4f,Altec Smart Cameras,"Sakar International, Inc.",4.1,http://www.alteclansing.com/privacy-policy/
Smart home,https://assistant.google.com/services/a/uid/000000665a5f096e,Entrematic Opener,GTO Access Systems LLC,1,http://www.amarr.com/company/privacy_policy
"Movies, photos & TV",https://assistant.google.com/services/a/uid/000000b365320cef,And Chill,And Chill,3.2,http://www.andchill.io/legal
Shopping,https://assistant.google.com/services/a/uid/000000202a67c673,Any Credit Car Connection,,3.8,http://www.anycreditcarconnection.com/app_privacy_policy.html
Food & drink,https://assistant.google.com/services/a/uid/0000003fa2a143b7,Eco menu,Nu Millenium Digit@l Technologies Ltd.,4.2,http://www.aplysialab.com/privacy-policy/eco-menu-privacy-policy/
Business & finance,https://assistant.google.com/services/a/uid/0000008d234d8f0f,APMEX,Apmex Inc.,4.3,http://www.apmex.com/privacypolicy
Food & drink,https://assistant.google.com/services/a/uid/000000e47176d76a,Apothic Wines,,4.4,http://www.apothic.com/privacy
Smart home,https://assistant.google.com/services/a/uid/000000fe32e901a2,Quick Remote,Appestry,3.7,http://www.appestry.biz/gp_pp
Travel & transportation,https://assistant.google.com/services/a/uid/000000ac7dfa5cb7,Charlotte Trains,,1,http://www.appventive.com/charlotte-trains-privacy
Arts & lifestyle,https://assistant.google.com/services/a/uid/000000a69372f2bf,Sri Sri,Art of Living Volunteer,5,http://www.artofliving.org/privacy-policy
Shopping,https://assistant.google.com/services/a/uid/000000ae48763054,ASDA,ASDA,3.2,http://www.asda.com/help/privacy-policy.html
Shopping,https://assistant.google.com/services/a/uid/000000489c1d2579,ASOS,ASOS,4.9,http://www.asos.com/privacy-policy/
Arts & lifestyle,https://assistant.google.com/services/a/uid/000000501f58b2ca,AstroSage Horoscope,Ojas Softech Pvt Ltd,4.3,http://www.astrosage.com/privacy-policy.asp
Education & reference,https://assistant.google.com/services/a/uid/00000076f707ada7,ISS Info,Paul Beardow,4.5,http://www.beardow.com/privacy.html
Business & finance,https://assistant.google.com/services/a/uid/000000c022e6bd1c,Job Genius Community,bizAmica Software,5,http://www.bizamica.com/privacy-policy
Health & fitness,https://assistant.google.com/services/a/uid/0000009f9635b8dd,breathe theraphy,,0,http://www.bytestek.com/privacy.html
Smart home,https://assistant.google.com/services/a/uid/00000044ed62b86b,Candy Bianca,Candy Hoover Group,4.1,http://www.candy-group.com/privacy/app/privacy-en.html
Smart home,https://assistant.google.com/services/a/uid/0000007272873a42,Candy cook,Candy Hoover Group,0,http://www.candy-group.com/privacy/app/privacy-en.html
Smart home,https://assistant.google.com/services/a/uid/0000008c7f9e3ade,Hoover Dish,Candy Hoover Group,5,http://www.candy-group.com/privacy/app/privacy-en.html
Smart home,https://assistant.google.com/services/a/uid/0000007f3a2d60ca,Hoover Wizard,Candy Hoover Group,3,http://www.candy-group.com/privacy/app/privacy-en.html
Smart home,https://assistant.google.com/services/a/uid/000000883136b33a,Cool Smart,champontech,5,http://www.champontech.com/en-smart-home-system
Kids & family,https://assistant.google.com/services/a/uid/000000b1cc78122a,Chhota Bheem the Detective,Green Gold Animation pvt. ltd.,4,http://www.chhotabheem.com/privacy-policy.html
News & magazines,https://assistant.google.com/services/a/uid/0000004525b68a64,CNN,CNN,3.8,http://www.cnn.com/privacy
Games & fun,https://assistant.google.com/services/a/uid/000000c3a484704e,Ding Dong Coconut,Creativity Incorporated,4.1,http://www.creativityinc.com/privacy-policy
Smart home,https://assistant.google.com/services/a/uid/00000033563fa323,CubicalSmartHome,Cubical Laboratories,4.6,http://www.cubical.in/smart-home/terms-of-use/
Education & reference,https://assistant.google.com/services/a/uid/00000010356244e9,Curlpad,Curlpad,4.8,http://www.curlpad.com/s/tos
Smart home,https://assistant.google.com/services/a/uid/0000004561143583,Cute Droid,,5,http://www.cutedroid.com/privacy-policy/en/index.html
Smart home,https://assistant.google.com/services/a/uid/000000ee944f09ac,Home Feeder,dejagermc,4,http://www.dejagermc.nl/homefeeder/dialogflow/privacy
Smart home,https://assistant.google.com/services/a/uid/000000d330eec601,nova alarm,"Dinsafer Innovation Co.,Ltd",4,http://www.dinsafer.com/policy/index.html
Music & audio,https://assistant.google.com/services/a/uid/00000008c1498e4e,D Park Radio,MC Entertainment Inc.,0,http://www.dparkradio.com/phone/privacy.html
News & magazines,https://assistant.google.com/services/a/uid/0000008011b5e5f2,Economist Espresso,The Economist,4.5,http://www.economistgroup.com/results_and_governance/governance/privacy/
Weather,https://assistant.google.com/services/a/uid/0000001345f02721,Seaside Buoy,ENC Data,4,http://www.encdata.info/ocean-temperature-privacy-policy/
Games & fun,https://assistant.google.com/services/a/uid/000000ad1657763e,Trivia Crack,Etermax,3.7,http://www.etermax.com/en/privacy/?game=triviacrack
Smart home,https://assistant.google.com/services/a/uid/000000f52ba2b680,Hui smart home,Fbee,3.3,http://www.fbeecloud.com/c2/policy-google.htm
Travel & transportation,https://assistant.google.com/services/a/uid/000000acef187fb3,Freddy's bus stop,,5,http://www.freeprivacypolicy.com/privacy/view/bb50a0419916cc22757761f1ba6dec63
Smart home,https://assistant.google.com/services/a/uid/000000eeff2727e0,Frigidaire,Frigidaire,1.8,http://www.frigidaire.com/Privacy/Connected-Appliances/
Travel & transportation,https://assistant.google.com/services/a/uid/000013dda471ead6,Gojek,PT. Aplikasi Karya Anak Bangsa,4.7,http://www.go-jek.com/privacy-policy/
Smart home,https://assistant.google.com/services/a/uid/000000492caccd9c,Hank Connect,hank-tech,0,http://www.hank-tech.com/Industrial.aspx?cid=194&pid=38&Mark=Industrial
Arts & lifestyle,https://assistant.google.com/services/a/uid/000000b248f15294,ELLE Horoscopes by The Astro Twins,Hearst,3.9,http://www.hearst.com/newsroom/voice-activated-services-privacy-notice
Business & finance,https://assistant.google.com/services/a/uid/0000001ed3998287,csl,HKT Limited,3.7,http://www.hkt.com/staticfiles/HKTCorpsite/Privacy%20Policy/PCO-POL-02C-privacy-policy-statement-hkt.pdf
Smart home,https://assistant.google.com/services/a/uid/00000037106ee59f,smart humidifier,HuiHe Cloud,3,http://www.huihetech.cn/privacy.html
Smart home,https://assistant.google.com/services/a/uid/000000a86140a5e6,My Digital Home,iLinq,4.5,http://www.ilinq.com.br/documents/privacy/iLinqActionsOnGoogle/privacy-en.html
Business & finance,https://assistant.google.com/services/a/uid/0000004f94110d65,Interview Workout,Interview Workout,0,http://www.interviewworkout.com/?open=privacy-policy
Music & audio,https://assistant.google.com/services/a/uid/000000609a07319b,Turtle Audio Book,Johann-Caspar Isemer,4,http://www.isemer.com/privacy.html
Smart home,https://assistant.google.com/services/a/uid/000000722961a60e,ANKEE,ANKEE USA,3,http://www.iv-tech.com/ankee_privacy_policy.html
Smart home,https://assistant.google.com/services/a/uid/000000e7bb19eeaa,EnWave,ENWAVE,5,http://www.iv-tech.com/privacy_policy.html
Sports,https://assistant.google.com/services/a/uid/00000003a6d0ad09,Golf Score,,0,http://www.jadasite.com/privacy.html
Food & drink,https://assistant.google.com/services/a/uid/0000000411fb11b5,Food Adviser,,0,http://www.javacoder4u.com/PrivacyPolicy.jsp
"Movies, photos & TV",https://assistant.google.com/services/a/uid/000000bfdc1e4920,Keecker,Keecker,4.3,http://www.keecker.com/eu-en/legal
